,, User Campaign Missions Created Week,2025-12-29,2025-12-29,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23
697895df9cdcb10e9c745780,TRADEIT USERS AL & TRADE APAC FEB26,Trade an item $250+,,,,,,,,,,,"1,263",54,360,7,233,3,142,0
694a8c1711b1431cb8f133b8,TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Play 1 game on FACEIT,"3,189","3,074","1,231","1,119",712,596,597,450,265,175,,,,,,,,
694a8c1711b1431cb8f133b8,TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Trade any item with Tradeit,"2,720",70,"1,163",16,660,11,574,4,233,1,,,,,,,,
694a8c1711b1431cb8f133b8,TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Trade an item $250+,27,5,33,6,11,2,13,0,18,1,,,,,,,,
697893828bc18e02af3cb92f,TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Trade any item with Tradeit,,,,,,,,,,,"3,081",73,993,14,658,3,379,3
697893828bc18e02af3cb92f,TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Trade an item $250+,,,,,,,,,,,30,2,26,3,23,4,14,2
697893828bc18e02af3cb92f,TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"3,758","3,519","1,001",850,626,496,379,268
694a8d3a11b1431cb8f133bc,TRADEIT USERS AL & NO TRADE MENA JAN26,Trade any item with Tradeit,"1,234",46,360,8,180,2,147,2,73,1,,,,,,,,
694a8d3a11b1431cb8f133bc,TRADEIT USERS AL & NO TRADE MENA JAN26,Trade an item $250+,14,0,17,2,11,0,10,1,6,0,,,,,,,,
694a8d3a11b1431cb8f133bc,TRADEIT USERS AL & NO TRADE MENA JAN26,Play 1 game on FACEIT,"1,392","1,351",379,335,180,154,141,117,80,51,,,,,,,,
6978951588d3595e56b6783d,TRADEIT USERS AL & NO TRADE MENA FEB26,Trade any item with Tradeit,,,,,,,,,,,"1,406",44,338,7,216,2,127,2
6978951588d3595e56b6783d,TRADEIT USERS AL & NO TRADE MENA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"1,563","1,531",331,291,203,169,139,104
6978951588d3595e56b6783d,TRADEIT USERS AL & NO TRADE MENA FEB26,Trade an item $250+,,,,,,,,,,,13,0,17,0,12,0,11,0
694a8caf11b1431cb8f133b9,TRADEIT USERS AL & NO TRADE CIS JAN26,Обменяй любой предмет на tradeit.gg,"24,510",325,"14,345",101,"7,052",35,"4,675",23,"2,833",7,,,,,,,,
694a8caf11b1431cb8f133b9,TRADEIT USERS AL & NO TRADE CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,75,1,101,6,104,4,105,5,101,2,,,,,,,,
694a8caf11b1431cb8f133b9,TRADEIT USERS AL & NO TRADE CIS JAN26,Сыграй 1 матч,"27,469","27,004","14,334","13,703","7,041","6,496","4,715","4,103","2,775","2,229",,,,,,,,
697894869cdcb10e9c74577d,TRADEIT USERS AL & NO TRADE CIS FEB26,Обменяй любой предмет на tradeit.gg,,,,,,,,,,,"37,328",541,"8,878",67,"5,357",28,"3,403",11
697894869cdcb10e9c74577d,TRADEIT USERS AL & NO TRADE CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,,,,,,,,,,,225,12,157,3,155,2,106,1
697894869cdcb10e9c74577d,TRADEIT USERS AL & NO TRADE CIS FEB26,Сыграй 1 матч,,,,,,,,,,,"40,580","39,701","8,770","8,052","5,343","4,654","3,413","2,675"
694a8dbe8e214f349b545919,TRADEIT USERS AL & NO TRADE  APAC JAN26,Trade any item with Tradeit,"2,030",52,812,19,395,1,312,4,156,0,,,,,,,,
694a8dbe8e214f349b545919,TRADEIT USERS AL & NO TRADE  APAC JAN26,Play 1 game on FACEIT,"2,295","2,247",847,779,398,331,315,256,152,109,,,,,,,,
694a8dbe8e214f349b545919,TRADEIT USERS AL & NO TRADE  APAC JAN26,Trade an item $250+,11,4,20,3,17,1,24,2,4,0,,,,,,,,
697895ad9cdcb10e9c74577f,TRADEIT USERS AL & NO TRADE  APAC FEB26,Play 1 game on FACEIT,,,,,,,,,,,"2,461","2,386",687,612,455,390,303,207
697895ad9cdcb10e9c74577f,TRADEIT USERS AL & NO TRADE  APAC FEB26,Trade an item $250+,,,,,,,,,,,18,4,11,1,19,1,9,0
697895ad9cdcb10e9c74577f,TRADEIT USERS AL & NO TRADE  APAC FEB26,Trade any item with Tradeit,,,,,,,,,,,"2,170",43,711,8,432,6,275,1
694a8bb5fe58fa8f3dc72bdb,TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Play 1 game on FACEIT,,,"9,771","9,112","5,135","4,274","4,577","3,547","2,050","1,359",,,,,,,,
694a8bb5fe58fa8f3dc72bdb,TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Trade any item with Tradeit,,,"7,944",79,"4,494",43,"4,008",38,"1,767",16,,,,,,,,
694a8bb5fe58fa8f3dc72bdb,TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Trade an item $250+,,,47,5,45,7,52,6,32,1,,,,,,,,
697893428bc18e02af3cb92e,TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"24,592","22,415","9,445","7,772","7,829","6,219","5,212","3,566"
697893428bc18e02af3cb92e,TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Trade an item $250+,,,,,,,,,,,126,14,133,12,132,11,94,4
697893428bc18e02af3cb92e,TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Trade any item with Tradeit,,,,,,,,,,,"19,230",225,"8,462",120,"6,976",98,"4,493",48
694a8d0d46aba03183541c8d,TRADEIT GENERAL MISSION MENA JAN26,Play 1 game on FACEIT,"7,413","7,036","3,013","2,550","1,935","1,632","1,800","1,448","1,084",777,,,,,,,,
694a8d0d46aba03183541c8d,TRADEIT GENERAL MISSION MENA JAN26,Trade any item with Tradeit,"6,232",74,"2,705",29,"1,757",28,"1,607",25,965,8,,,,,,,,
694a8d0d46aba03183541c8d,TRADEIT GENERAL MISSION MENA JAN26,Trade an item $250+,32,3,35,6,29,2,40,0,26,2,,,,,,,,
697894e188d3595e56b6783c,TRADEIT GENERAL MISSION MENA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"8,040","7,645","2,717","2,389","2,256","1,877","1,733","1,269"
697894e188d3595e56b6783c,TRADEIT GENERAL MISSION MENA FEB26,Trade any item with Tradeit,,,,,,,,,,,"6,920",89,"2,524",34,"2,050",29,"1,524",27
697894e188d3595e56b6783c,TRADEIT GENERAL MISSION MENA FEB26,Trade an item $250+,,,,,,,,,,,40,2,39,2,46,2,54,0
694a8be18e214f349b545914,TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Trade an item $250+,,,51,4,57,9,73,4,39,0,,,,,,,,
694a8be18e214f349b545914,TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Play 1 game on FACEIT,,,"9,739","9,087","5,276","4,358","4,563","3,598","2,089","1,367",,,,,,,,
694a8be18e214f349b545914,TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Trade any item with Tradeit,,,"7,912",88,"4,586",62,"4,057",54,"1,792",17,,,,,,,,
694a8c7946aba03183541c8b,TRADEIT GENERAL MISSION CIS JAN26,Обменяй любой предмет на tradeit.gg,"134,249",529,"100,747",249,"57,512",185,"45,183",161,"26,073",71,,,,,,,,
694a8c7946aba03183541c8b,TRADEIT GENERAL MISSION CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,174,9,235,20,209,14,305,16,259,6,,,,,,,,
694a8c7946aba03183541c8b,TRADEIT GENERAL MISSION CIS JAN26,Сыграй 1 матч,"151,310","147,921","105,095","99,255","59,525","54,535","47,292","41,489","27,367","21,973",,,,,,,,
6978945688d3595e56b67839,TRADEIT GENERAL MISSION CIS FEB26,Обменяй любой предмет на tradeit.gg,,,,,,,,,,,"214,035","1,200","68,776",312,"46,566",196,"34,080",118
6978945688d3595e56b67839,TRADEIT GENERAL MISSION CIS FEB26,Сыграй 1 матч,,,,,,,,,,,"235,798","228,563","70,930","64,625","48,500","42,720","35,681","28,760"
6978945688d3595e56b67839,TRADEIT GENERAL MISSION CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,,,,,,,,,,,684,40,429,29,372,30,323,13
694a8d9546aba03183541c8e,TRADEIT GENERAL MISSION APAC JAN26,Trade any item with Tradeit,"16,814",90,"9,894",45,"6,240",27,"6,314",30,"3,169",14,,,,,,,,
694a8d9546aba03183541c8e,TRADEIT GENERAL MISSION APAC JAN26,Trade an item $250+,31,4,49,6,52,6,37,1,37,2,,,,,,,,
694a8d9546aba03183541c8e,TRADEIT GENERAL MISSION APAC JAN26,Play 1 game on FACEIT,"19,982","18,888","11,039","9,830","7,164","5,954","7,187","5,655","3,676","2,597",,,,,,,,
6978957888d3595e56b6783e,TRADEIT GENERAL MISSION APAC FEB26,Trade an item $250+,,,,,,,,,,,41,6,57,5,62,9,46,1
6978957888d3595e56b6783e,TRADEIT GENERAL MISSION APAC FEB26,Trade any item with Tradeit,,,,,,,,,,,"18,454",91,"8,158",51,"6,169",41,"5,576",24
6978957888d3595e56b6783e,TRADEIT GENERAL MISSION APAC FEB26,Play 1 game on FACEIT,,,,,,,,,,,"22,021","20,622","9,054","7,765","6,864","5,581","6,574","4,756"
