JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"4,540","4,072","4,070",99.95%,99.95%,"2,986"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"4,207",231,231,5.68%,5.67%,200
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8c45fe58fa8f3dc72bdd/details,,,,,,,,,
campaing ID,694a8c45fe58fa8f3dc72bdd,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - CIS,Matches,1,Play 1 game on FACEIT,500 FP,"385,376","360,007","6,285",1.75%,1.75%,"3,142,500 (FP)"
,Custom Mission,2,Trade any item with Tradeit,80 ₽ Tradeit Credit ($1),"362,738","1,190","1,190",18.93%,0.33%,"1,189"
,Custom Mission,3,Trade an item $250+,2000 ₽ Tradeit Credit ($25),"1,182",65,65,5.46%,0.02%,65
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8c7946aba03183541c8b/details,,,,,,,,,
campaing ID,694a8c7946aba03183541c8b,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - CIS,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"55,297","52,508","52,488",99.96%,99.96%,"37,594"
,Custom Mission,2,Trade any item with Tradeit,80 ₽ Tradeit Credit ($1),"53,206",485,483,0.92%,0.92%,393
,Custom Mission,3,Trade an item $250+,2000 ₽ Tradeit Credit ($25),486,18,18,3.73%,0.03%,17
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8caf11b1431cb8f133b9/details,,,,,,,,,
campaing ID,694a8caf11b1431cb8f133b9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - CIS,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"23,588","22,421","22,416",99.98%,99.98%,"14,340"
,Custom Mission,2,Trade an item $250+,2000 ₽ Tradeit Credit ($25),"22,776",332,332,1.48%,1.48%,313
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8cdd46aba03183541c8c/details,,,,,,,,,
campaing ID,694a8cdd46aba03183541c8c,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - MENA,Matches,1,Play 1 game on FACEIT,200 Giveaway Tickets,"14,626","12,830",608,4.74%,4.74%,607
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"13,136",164,164,26.97%,1.28%,163
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,162,13,13,7.93%,0.10%,13
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8d0d46aba03183541c8d/details,,,,,,,,,
campaing ID,694a8d0d46aba03183541c8d,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - MENA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"2,017","1,853","1,851",99.89%,99.89%,"1,831"
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"1,957",59,59,3.19%,3.18%,57
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,58,3,3,5.08%,0.16%,3
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8d3a11b1431cb8f133bc/details,,,,,,,,,
campaing ID,694a8d3a11b1431cb8f133bc,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - MENA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"1,414","1,293","1,291",99.85%,99.85%,"1,281"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"1,385",57,57,4.42%,4.41%,57
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8d687454fa4a52840397/details,,,,,,,,,
campaing ID,694a8d687454fa4a52840397,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - APAC,Matches,1,Play 1 game on FACEIT,200 Giveaway Tickets,"48,715","42,603","1,052",2.47%,2.47%,"1,051"
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"42,337",206,206,19.58%,0.48%,205
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,206,19,19,9.22%,0.04%,19
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8d9546aba03183541c8e/details,,,,,,,,,
campaing ID,694a8d9546aba03183541c8e,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO  TRADE MADE - APAC,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"3,960","3,675","3,671",99.89%,99.89%,"3,628"
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"3,696",75,75,2.04%,2.04%,75
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,76,10,10,13.33%,0.27%,10
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8dbe8e214f349b545919/details,,,,,,,,,
campaing ID,694a8dbe8e214f349b545919,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS + 250 TRADE MADE - APAC,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"2,224","2,043","2,041",99.90%,99.90%,"2,011"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"2,045",62,62,3.04%,3.03%,62
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8de78e214f349b54591a/details,,,,,,,,,
campaing ID,694a8de78e214f349b54591a,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON-ACTIVATED USERS (GENERAL MISSION) - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,1000 FP,"47,078","39,972","1,924",4.81%,4.81%,"1,924,000 (FP)"
,Custom Mission,2,Trade any item with Tradeit,$2 Tradeit Credit,"39,161",491,490,25.47%,1.23%,490
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,485,41,41,8.37%,0.10%,41
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697893428bc18e02af3cb92e/details,,,,,,,,,
campaing ID,697893428bc18e02af3cb92e,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"5,764","5,133","5,130",99.94%,99.94%,"3,422"
,Custom Mission,2,Trade any item with Tradeit,$2 Tradeit Credit,"5,111",93,93,1.81%,1.81%,83
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,93,11,11,11.83%,0.21%,8
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697893828bc18e02af3cb92f/details,,,,,,,,,
campaing ID,697893828bc18e02af3cb92f,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"4,543","4,036","4,036",100.00%,100.00%,"2,504"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"4,010",179,179,4.44%,4.44%,162
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697893ba9cdcb10e9c74577b/details,,,,,,,,,
campaing ID,697893ba9cdcb10e9c74577b,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - CIS,Matches,1,Play 1 game on FACEIT,500 FP,"390,909","364,668","9,025",2.47%,2.47%,"4,512,500 (FP)"
,Custom Mission,2,Trade any item with Tradeit,80 ₽ Tradeit Credit ($1),"363,457","1,826","1,825",20.22%,0.50%,"1,821"
,Custom Mission,3,Trade an item $250+,2000 ₽ Tradeit Credit ($25),"1,808",112,112,6.14%,0.03%,112
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/6978945688d3595e56b67839/details,,,,,,,,,
campaing ID,6978945688d3595e56b67839,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - CIS,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"58,106","55,082","55,045",99.93%,99.93%,"27,914"
,Custom Mission,2,Trade any item with Tradeit,80 ₽ Tradeit Credit ($1),"54,966",647,646,1.17%,1.17%,514
,Custom Mission,3,Trade an item $250+,2000 ₽ Tradeit Credit ($25),643,18,18,2.79%,0.03%,18
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697894869cdcb10e9c74577d/details,,,,,,,,,
campaing ID,697894869cdcb10e9c74577d,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - CIS,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"24,923","23,649","23,635",99.94%,99.94%,"12,562"
,Custom Mission,2,Trade an item $250+,2000 ₽ Tradeit Credit ($25),"23,594",347,347,1.47%,1.47%,308
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697894b59cdcb10e9c74577e/details,,,,,,,,,
campaing ID,697894b59cdcb10e9c74577e,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - MENA,Matches,1,Play 1 game on FACEIT,200 Giveaway Tickets,"14,746","13,180",608,4.61%,4.61%,608
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"13,018",179,179,29.44%,1.36%,178
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,179,6,6,3.35%,0.05%,6
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697894e188d3595e56b6783c/details,,,,,,,,,
campaing ID,697894e188d3595e56b6783c,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - MENA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"2,236","2,095","2,094",99.95%,99.95%,"2,069"
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"2,087",55,55,2.63%,2.63%,55
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,53,0,0,0.00%,0.00%,0
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/6978951588d3595e56b6783d/details,,,,,,,,,
campaing ID,6978951588d3595e56b6783d,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS TRADE MADE - MENA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"1,629","1,513","1,512",99.93%,99.93%,"1,493"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"1,505",71,71,4.70%,4.69%,71
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/6978954a8bc18e02af3cb932/details,,,,,,,,,
campaing ID,6978954a8bc18e02af3cb932,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON ACTIVATED USERS (GENERAL MISSION) - APAC,Matches,1,Play 1 game on FACEIT,200 Giveaway Tickets,"44,513","38,724",966,2.49%,2.49%,962
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"38,357",207,207,21.43%,0.53%,207
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,206,21,21,10.14%,0.05%,21
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/6978957888d3595e56b6783e/details,,,,,,,,,
campaing ID,6978957888d3595e56b6783e,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO  TRADE MADE - APAC,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"3,906","3,595","3,590",99.86%,99.86%,"3,544"
,Custom Mission,2,Trade any item with Tradeit,$1 Tradeit Credit,"3,588",58,58,1.62%,1.61%,58
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,57,6,6,10.34%,0.17%,6
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697895ad9cdcb10e9c74577f/details,,,,,,,,,
campaing ID,697895ad9cdcb10e9c74577f,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FEB'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
ACCOUNT LINKS + 250 TRADE MADE - APAC,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"2,174","2,001","2,000",99.95%,99.95%,"1,953"
,Custom Mission,2,Trade an item $250+,$25 Tradeit Credit,"1,998",64,64,3.20%,3.20%,64
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/697895df9cdcb10e9c745780/details,,,,,,,,,
campaing ID,697895df9cdcb10e9c745780,,,,,,,,,
