,, User Campaign Missions Created Week,2025-12-29,2025-12-29,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-09,2026-03-09,2026-03-16,2026-03-16
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Сыграйте 1 матч,"9,518","9,359","5,362","5,121","2,752","2,545","1,997","1,778","1,222",992,,,,,,,,,,,,,,
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,13,0,30,0,24,0,40,0,58,0,,,,,,,,,,,,,,
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Внесите депозит от 500 рублей,"8,204",73,"5,131",41,"2,658",29,"1,908",19,"1,175",7,,,,,,,,,,,,,,
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Сыграйте 1 матчей,,,,,,,,,,,,,,,,,"31,424","30,892","29,702","28,235","10,022","8,779","3,412","2,685"
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,,,,,,,,,,,,,,,,,387,376,"3,599","3,249","2,529","1,781",968,376
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Внесите депозит на сумму 3000 рублей,,,,,,,,,,,,,,,,,"25,724","3,331","30,004","3,444","9,949",706,"3,419",107
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Сыграйте 1 матч,"12,726","12,491","6,688","6,377","3,389","3,145","2,400","2,104","1,480","1,203",,,,,,,,,,,,,,
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Пройдите идентификацию в своем Winline аккаунте,"11,291",144,"6,635",88,"3,441",47,"2,387",20,"1,476",23,,,,,,,,,,,,,,
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Внесите депозит от 500 рублей,36,3,62,18,81,23,67,20,56,8,,,,,,,,,,,,,,
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,1,0,8,0,22,0,26,0,15,0,,,,,,,,,,,,,,
69a1889766558055210b36c5,Winline Mission - MISSION 3 - NO FTD MARCH26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,,,,,,,8,4,42,13,47,22,22,6
69a1889766558055210b36c5,Winline Mission - MISSION 3 - NO FTD MARCH26,Внесите депозит от 500 рублей,,,,,,,,,,,,,,,,,"6,301",48,"7,550",47,"2,773",24,886,2
69a1889766558055210b36c5,Winline Mission - MISSION 3 - NO FTD MARCH26,Сыграйте 1 матч,,,,,,,,,,,,,,,,,"7,943","7,799","7,691","7,253","2,775","2,425",951,722
69a18861cc9158b68606c727,Winline Mission - MISSION 2 - NO KYC MARCH26,Сыграйте 1 матч,,,,,,,,,,,,,,,,,"10,361","10,198","9,662","9,073","3,448","2,978","1,171",879
69a18861cc9158b68606c727,Winline Mission - MISSION 2 - NO KYC MARCH26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,,,,,,,2,1,19,6,12,3,11,3
69a18861cc9158b68606c727,Winline Mission - MISSION 2 - NO KYC MARCH26,Пройдите идентификацию в своем Winline аккаунте,,,,,,,,,,,,,,,,,"8,506",79,"9,880",96,"3,497",36,"1,162",12
69a18861cc9158b68606c727,Winline Mission - MISSION 2 - NO KYC MARCH26,Внесите депозит от 500 рублей,,,,,,,,,,,,,,,,,18,5,81,19,75,10,37,10
6940093e9b4d58f8c47e6fd1,Winline Mission - AGNOSTIC MISSION 2 - MISTERY BOX JANUARY26,Interact with the partner media content shown,346,346,651,595,683,605,673,609,519,445,,,,,,,,,,,,,,
6940093e9b4d58f8c47e6fd1,Winline Mission - AGNOSTIC MISSION 2 - MISTERY BOX JANUARY26,Сыграйте 1 матчей,"53,550","52,200","39,606","37,063","23,329","21,205","18,727","16,360","10,919","8,775",,,,,,,,,,,,,,
6940093e9b4d58f8c47e6fd1,Winline Mission - AGNOSTIC MISSION 2 - MISTERY BOX JANUARY26,Подключите свой аккаунт Winline,"47,142","1,155","37,536",732,"22,315",481,"17,731",377,"10,355",210,,,,,,,,,,,,,,
69a1880766558055210b36c4,Winline Mission - AGNOSTIC MISSION 1 - MARCH26,Подключите свой аккаунт Winline,,,,,,,,,,,,,,,,,"84,116","1,693","118,421","1,644","49,180",580,"17,865",189
69a1880766558055210b36c4,Winline Mission - AGNOSTIC MISSION 1 - MARCH26,Сыграйте 1 матчей,,,,,,,,,,,,,,,,,"103,733","101,054","120,067","111,609","51,175","43,683","18,733","14,342"
694009049b4d58f8c47e6fd0,Winline Mission - AGNOSTIC MISSION 1 -  JANUARY26,Сыграйте 1 матчей,"53,832","52,463","39,738","37,273","23,462","21,247","18,990","16,602","11,083","8,829",,,,,,,,,,,,,,
694009049b4d58f8c47e6fd0,Winline Mission - AGNOSTIC MISSION 1 -  JANUARY26,Подключите свой аккаунт Winline,"47,424",682,"37,729",508,"22,226",294,"18,128",243,"10,446",127,,,,,,,,,,,,,,
697c8265bd76a0de45398a20,MISSION 9 WHALE FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,,,"1,968","1,906","2,098","1,916","1,764","1,468","34,821","29,831",,,,,,
697c8265bd76a0de45398a20,MISSION 9 WHALE FEBRUARY26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,,,,,,,,,,,724,698,"1,205","1,092","1,228",779,887,280,,,,,,
697c8265bd76a0de45398a20,MISSION 9 WHALE FEBRUARY26,Внесите депозит на сумму 5000 рублей,,,,,,,,,,,"1,423","1,302","1,737","1,426","1,717","1,025","29,561",322,,,,,,
697c82314ef62f0511b6201e,MISSION 8 FTD TEST GROUP FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,,,788,785,51,45,32,30,13,12,,,,,,
697c82314ef62f0511b6201e,MISSION 8 FTD TEST GROUP FEBRUARY26,Внесите депозит на сумму 3000 рублей,,,,,,,,,,,758,63,58,5,37,0,17,1,,,,,,
697c82314ef62f0511b6201e,MISSION 8 FTD TEST GROUP FEBRUARY26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,,,,,,,,,,,13,8,19,15,23,10,12,2,,,,,,
697c8202bd76a0de45398a1f,MISSION 7 FTD MAIN GROUP FEBRUARY26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,,,,,,,,,,,"2,881","2,687","2,582","2,242","2,113","1,394","1,580",748,,,,,,
697c8202bd76a0de45398a1f,MISSION 7 FTD MAIN GROUP FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,,,"56,002","54,818","11,480","10,668","7,170","6,427","4,902","3,968",,,,,,
697c8202bd76a0de45398a1f,MISSION 7 FTD MAIN GROUP FEBRUARY26,Внесите депозит на сумму 3000 рублей,,,,,,,,,,,"51,067","7,192","11,418","1,284","7,087",573,"4,762",201,,,,,,
697c81cf0433758c70d5a1b9,MISSION 6 NO FTD TEST GROUP FEBRUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,6,0,6,2,7,1,5,1,,,,,,
697c81cf0433758c70d5a1b9,MISSION 6 NO FTD TEST GROUP FEBRUARY26,Внесите депозит от 500 рублей,,,,,,,,,,,"1,083",22,100,1,40,0,35,1,,,,,,
697c81cf0433758c70d5a1b9,MISSION 6 NO FTD TEST GROUP FEBRUARY26,Сыграйте 1 матч,,,,,,,,,,,"1,132","1,124",80,77,38,35,34,25,,,,,,
697c81a24ef62f0511b6201d,MISSION 5 NO FTD MAIN GROUP FEBRUARY26,Сыграйте 1 матч,,,,,,,,,,,"13,256","12,939","3,045","2,797","1,973","1,741","1,377","1,127",,,,,,
697c81a24ef62f0511b6201d,MISSION 5 NO FTD MAIN GROUP FEBRUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,45,16,25,9,74,25,41,13,,,,,,
697c81a24ef62f0511b6201d,MISSION 5 NO FTD MAIN GROUP FEBRUARY26,Внесите депозит от 500 рублей,,,,,,,,,,,"11,745",134,"2,943",27,"1,925",22,"1,321",6,,,,,,
697c8168bd76a0de45398a1e,MISSION 4 - NO KYC TEST GROUP FEBRUARY26,Пройдите идентификацию в своем Winline аккаунте,,,,,,,,,,,"1,105",27,102,2,52,0,26,0,,,,,,
697c8168bd76a0de45398a1e,MISSION 4 - NO KYC TEST GROUP FEBRUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,2,2,2,1,3,2,2,1,,,,,,
697c8168bd76a0de45398a1e,MISSION 4 - NO KYC TEST GROUP FEBRUARY26,Внесите депозит от 500 рублей,,,,,,,,,,,10,3,6,4,3,0,7,2,,,,,,
697c8168bd76a0de45398a1e,MISSION 4 - NO KYC TEST GROUP FEBRUARY26,Сыграйте 1 матч,,,,,,,,,,,"1,155","1,144",91,86,40,38,24,22,,,,,,
697c81294ef62f0511b6201c,MISSION 3 - NO KYC MAIN GROUP FEBRUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,,,,,,,,,,,14,6,11,7,21,3,12,3,,,,,,
697c81294ef62f0511b6201c,MISSION 3 - NO KYC MAIN GROUP FEBRUARY26,Сыграйте 1 матч,,,,,,,,,,,"17,463","17,053","3,615","3,255","2,476","2,188","1,734","1,400",,,,,,
697c81294ef62f0511b6201c,MISSION 3 - NO KYC MAIN GROUP FEBRUARY26,Пройдите идентификацию в своем Winline аккаунте,,,,,,,,,,,"15,985",221,"3,662",55,"2,445",21,"1,726",18,,,,,,
697c81294ef62f0511b6201c,MISSION 3 - NO KYC MAIN GROUP FEBRUARY26,Внесите депозит от 500 рублей,,,,,,,,,,,86,18,67,11,87,21,60,8,,,,,,
697c80dc4ef62f0511b6201b,AGNOSTIC MISSION 2 - TEST GROUP - FEBRUARY26,Подключите свой аккаунт Winline,,,,,,,,,,,"1,005",23,107,0,60,1,29,0,,,,,,
697c80dc4ef62f0511b6201b,AGNOSTIC MISSION 2 - TEST GROUP - FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,,,"1,043","1,036",104,96,49,47,27,24,,,,,,
697c80a14ef62f0511b6201a, AGNOSTIC MISSION 1 - MAIN GROUP -  FEBRUARY26,Подключите свой аккаунт Winline,,,,,,,,,,,"178,211","3,246","54,439",655,"38,943",468,"29,073",252,,,,,,
697c80a14ef62f0511b6201a, AGNOSTIC MISSION 1 - MAIN GROUP -  FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,,,"196,940","190,159","56,609","51,255","40,877","35,870","30,591","24,555",,,,,,
